DestinationFull,DistanceKm
"Barcelona, Spain",205.2778362255972
"Frankfurt Hahn, Germany",1262.526258853935
"Brussels Charleroi, Belgium",1219.011303252012
"Seville, Spain",791.8867884493454
"London Stansted, United Kingdom",1381.5720661523208
"Cologne, Germany",1307.4047581267482
"Vienna, Austria",1457.9753789979693
"Karlsruhe / Baden-Baden, Germany",1143.94877997741
"Madrid, Spain",550.5760026717456
"Memmingen, Germany",1113.2578399754505
"Hamburg, Germany",1651.023296345911
"Milan Malpensa, Italy",837.070500454846
"Malaga, Spain",695.5684256857936
"Nuremberg, Germany",1284.778763180264
"Valencia, Spain",260.4623562290208
"Bremen, Germany",1572.9556068584388
"MÃ¼nster, Germany",1429.8970108380595
"Dusseldorf Weeze, Germany",1335.9602572031256
"Warsaw Chopin, Poland",1984.9247424117373
"Eindhoven, Netherlands",1337.3368394841425
"Bologna, Italy",903.1980161744008
"Berlin Brandenburg, Germany",1647.7968523400168
"Milan Bergamo, Italy",872.5056280241101
"Alicante, Spain",304.14192052055785
"Birmingham, United Kingdom",1476.8794738807917
"Manchester, United Kingdom",1590.2440881529906
